Estado,DensidadPoblacional
Aguascalientes,253.9
Baja California,52.8
Baja California Sur,10.8
Campeche,16.1
Coahuila de Zaragoza,20.8
Colima,130
Chiapas,75.6
Chihuahua,15.1
Ciudad de México,6163.3
Durango,14.9
Guanajuato,201.5
Guerrero,55.7
Hidalgo,148.1
Jalisco,106.2
México,760.2
Michoacán de Ocampo,81
Morelos,404.1
Nayarit,44.4
Nuevo León,90.2
Oaxaca,44.1
Puebla,191.9
Querétaro,202.6
Quintana Roo,41.6
San Luis Potosí,46.2
Sinaloa,52.8
Sonora,16.4
Tabasco,97.1
Tamaulipas,44
Tlaxcala,336
Veracruz de Ignacio de la Llave,112.3
Yucatán,58.7
Zacatecas,21.5
